ipeds_id,academic_year,data_source,tuition_in_state,tuition_out_state,required_fees,tuition_fees_in_state,tuition_fees_out_state,room_board_on_campus,room_board_off_campus,books_supplies,personal_expenses,transportation,has_tuition_data,has_fees_data,data_completeness_score,validation_issues,validation_status
227146,2023-24,IC2023_AY,1620.0,3480.0,3098.0,4718.0,6578.0,7993.0,7993.0,1912.0,8338.0,,True,True,90,,clean
227182,2023-24,IC2023_AY,5544.0,6960.0,0.0,6930.0,8700.0,,12600.0,2550.0,,,True,False,70,,clean
227216,2023-24,IC2023_AY,8319.0,18399.0,2845.0,11164.0,21244.0,10805.0,10680.0,1120.0,3898.0,,True,True,90,,clean
227225,2023-24,IC2023_AY,2712.0,5434.0,1570.0,4282.0,7004.0,7240.0,6813.0,1500.0,5394.0,,True,True,90,,clean
227304,2023-24,IC2023_AY,3120.0,4014.0,792.0,3912.0,4806.0,6800.0,14701.0,450.0,3175.0,,True,True,90,,clean
227368,2023-24,IC2023_AY,7637.0,17707.0,1830.0,9467.0,19542.0,9662.0,9780.0,1190.0,3766.0,,True,True,90,,clean
227377,2023-24,IC2023_AY,1800.0,3000.0,1948.0,3748.0,4948.0,,10413.0,1464.0,,,True,True,70,,clean
227386,2023-24,IC2023_AY,792.0,792.0,3168.0,3960.0,5064.0,6860.0,6522.0,1500.0,6822.0,,True,True,90,,clean
227401,2023-24,IC2023_AY,3330.0,4830.0,750.0,4080.0,5580.0,5901.0,8115.0,1500.0,5103.0,,True,True,90,,clean
227429,2023-24,IC2023_AY,8898.0,8898.0,4600.0,13498.0,13498.0,7650.0,9460.0,1000.0,2600.0,,True,True,90,,clean
227526,2023-24,IC2023_AY,7387.0,22590.0,3912.0,11299.0,26874.0,10317.0,8872.0,1571.0,4611.0,,True,True,90,,clean
227687,2023-24,IC2023_AY,3700.0,6150.0,2625.0,6325.0,8775.0,4964.0,8450.0,1800.0,3750.0,,True,True,90,,clean
227748,2023-24,IC2023_AY,16520.0,16520.0,237.0,16757.0,16757.0,,10556.0,1000.0,,,True,True,70,,clean
227757,2023-24,IC2023_AY,57210.0,57210.0,918.0,58128.0,58128.0,15900.0,15900.0,1400.0,2850.0,,True,True,90,,clean
227845,2023-24,IC2023_AY,50484.0,50484.0,900.0,51384.0,51384.0,14010.0,15686.0,2308.0,3150.0,,True,True,90,,clean
227854,2023-24,IC2023_AY,6750.0,14280.0,142.0,6892.0,14422.0,,11512.0,500.0,,,True,True,70,,clean
227863,2023-24,IC2023_AY,32900.0,32900.0,760.0,33660.0,33660.0,10248.0,10897.0,1094.0,3902.0,,True,True,90,,clean
227881,2023-24,IC2023_AY,5856.0,15648.0,3372.0,9228.0,19020.0,11720.0,11720.0,1380.0,3866.0,,True,True,90,,clean
227924,2023-24,IC2023_AY,6750.0,14280.0,142.0,6892.0,14422.0,,11512.0,500.0,,,True,True,70,,clean
