ipeds_id,academic_year,data_source,tuition_in_state,tuition_out_state,required_fees,tuition_fees_in_state,tuition_fees_out_state,room_board_on_campus,room_board_off_campus,books_supplies,personal_expenses,transportation,has_tuition_data,has_fees_data,data_completeness_score,validation_issues,validation_status
217305,2023-24,IC2023_AY,35625,35625,1200,36825,36825,17040,3066,7606,3866,3866,TRUE,TRUE,100,,clean
217402,2023-24,IC2023_AY,60848,60848,1150,61998,61998,17150,1492,16540,1490,8070,TRUE,TRUE,100,,clean
217420,2023-24,IC2023_AY,10986,10986,1200,12186,12186,13719,1440,14688,2200,2200,TRUE,TRUE,100,,clean
217475,2023-24,IC2023_AY,5326,5326,1200,6526,6526,,,14457,5156,5156,TRUE,TRUE,80,,clean
217484,2023-24,IC2023_AY,16408,16408,1250,17658,17658,14900,2436,12286,4582,9640,TRUE,TRUE,100,,clean
217493,2023-24,IC2023_AY,59760,59760,2700,62460,62460,15850,3500,15850,3500,4500,TRUE,TRUE,100,,clean
217518,2023-24,IC2023_AY,42666,42666,900,43566,43566,16690,3350,15280,2920,3104,TRUE,TRUE,100,,clean
217536,2023-24,IC2023_AY,47930,47930,1600,49530,49530,17500,3886,13170,3886,4086,TRUE,TRUE,100,,clean
217606,2023-24,IC2023_AY,14160,14160,1800,15960,15960,11802,4500,16100,6000,4500,TRUE,TRUE,100,,clean
217615,2023-24,IC2023_AY,5044,5404,1500,6544,6904,,,7650,3700,3700,TRUE,TRUE,80,,clean
217624,2023-24,IC2023_AY,14304,14304,1308,15612,15612,8584,2500,6000,3000,3500,TRUE,TRUE,100,,clean
217633,2023-24,IC2023_AY,33580,33580,600,34180,34180,12290,4560,12290,6430,6430,TRUE,TRUE,100,,clean
217688,2023-24,IC2023_AY,31030,31030,,31030,31030,11590,4600,8930,5060,5060,TRUE,FALSE,80,,clean
217712,2023-24,IC2023_AY,5500,6100,1300,6800,7400,,,23382,4928,4928,TRUE,TRUE,80,,clean
217721,2023-24,IC2023_AY,18000,18000,1600,19600,19600,7000,5400,7000,5400,5400,TRUE,TRUE,100,,clean
217749,2023-24,IC2023_AY,23400,23400,1300,24700,24700,9900,3650,13250,3650,3650,TRUE,TRUE,100,,clean
217776,2023-24,IC2023_AY,27870,27870,1060,28930,28930,10654,2325,9183,2700,2145,TRUE,TRUE,100,,clean
217819,2023-24,IC2023_AY,12978,12978,1454,14432,14432,14032,4632,13779,4632,4632,TRUE,TRUE,100,,clean
217837,2023-24,IC2023_AY,5664,6024,1700,7364,7724,,,11066,4262,3572,TRUE,TRUE,80,,clean
217864,2023-24,IC2023_AY,12570,12570,9741,22311,22311,9146,2423,21522,9178,9178,TRUE,TRUE,100,,clean
217873,2023-24,IC2023_AY,17046,17046,1900,18946,18946,9480,5250,11500,9000,9500,TRUE,TRUE,100,,clean
217882,2023-24,IC2023_AY,15554,15554,1436,16990,16990,12872,5476,12872,5476,8980,TRUE,TRUE,100,,clean
217891,2023-24,IC2023_AY,10516,10516,1200,11716,11716,10494,2805,10494,3555,500,TRUE,TRUE,100,,clean
217907,2023-24,IC2023_AY,31854,31854,3000,34854,34854,10882,1632,6470,1632,1632,TRUE,TRUE,100,,clean
217925,2023-24,IC2023_AY,27900,27900,200,28100,28100,11950,3400,9020,4200,4200,TRUE,TRUE,100,,clean
217934,2023-24,IC2023_AY,21450,21450,960,22410,22410,8550,4940,6600,4880,4880,TRUE,TRUE,100,,clean
217961,2023-24,IC2023_AY,23096,23096,1350,24446,24446,13424,3300,13424,4500,4500,TRUE,TRUE,100,,clean
